Endpoint,Method,Description,Headers,QueryParams,Body,Auth,ExpectedResponse
api/company,GET,Get company info,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""id"": 1, ""niche"": {""id"": 1, ""name"": ""niche""}, ""region"": {""id"": 1, ""name"": ""Республика Адыгея""}, ""logo_url"": null, ""name"": ""111"", ""name_full"": ""Название полное"", ""inn"": ""123123"", ""kpp"": ""123123"", ""address_legal"": ""asdasfcsadvf dfggf"", ""status"": ""active"", ""created_at"": ""2025-09-16T11:23:05.000000Z"", ""updated_at"": ""2025-10-31T21:27:09.000000Z"", ""tariff"": ""srm-srm"", ""subscriptions_exists"": true, ""department_id_default"": 1}}"
api/company,POST,Create or update company,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: multipart/form-data; Accept: application/json,,"logo file optional Must be a file. Поле ""value"" должно быть изображением. Поле ""value"" должно быть не больше 1000 Килобайт. Example: /tmp/php5qmb5sco0m8k6mcknLH; name string optional Поле ""value"" должно быть не длиннее 255 символов. Example: scwnwxdfmluyd; niche_id integer optional The id of an existing record in the niches table. Example: 6; region_id integer optional Example: 12; name_full string optional Поле ""value"" должно быть не длиннее 255 символов. Example: zaurwsumcdwe; inn string optional Поле ""value"" должно быть не короче 10 символов. Поле ""value"" должно быть не длиннее 12 символов. Example: huarb; kpp string optional Поле ""value"" должно быть длиной 9 символов. Example: qanbczhrt; address_legal string optional Поле ""value"" должно быть не длиннее 255 символов. Example: fw",Bearer Token,"{""data"": {""id"": 1, ""niche"": {""id"": 1, ""name"": ""niche""}, ""region"": {""id"": 1, ""name"": ""Республика Адыгея""}, ""logo_url"": null, ""name"": ""111"", ""name_full"": ""Название полное"", ""inn"": ""123123"", ""kpp"": ""123123"", ""address_legal"": ""asdasfcsadvf dfggf"", ""status"": ""active"", ""created_at"": ""2025-09-16T11:23:05.000000Z"", ""updated_at"": ""2025-10-31T21:27:09.000000Z"", ""tariff"": ""srm-srm"", ""subscriptions_exists"": true}}"
api/company/dashboard,GET,Get company dashboard,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""funnel_stages"": [{""stage"": ""fact_leads_count"", ""name"": ""Новых лидов взято в работу, шт."", ""sort"": 1}], ""funnel_stages_conversions"": [{""type"": ""main"", ""stage_divisor"": ""fact_leads_count"", ""stage_divided"": ""fact_payments_count""}], ""departments"": [{""id"": 1, ""name"": ""depName"", ""funnel_stages"": [{""stage"": ""fact_leads_count"", ""name"": ""Новых лидов взято в работу, шт."", ""sort"": 1}], ""funnel_stages_conversions"": [{""type"": ""main"", ""stage_divisor"": ""fact_leads_count"", ""stage_divided"": ""fact_payments_count""}], ""leads_enabled"": true}]}"
api/company/dashboard,PATCH,Update company dashboard,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,funnel_stages_conversions string[] optional; departments string[] optional,Bearer Token,ok
api/departments/{id}/dashboard,GET,Get department dashboard,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department. Example: enim,,Bearer Token,"{""department_is_hidden"": false, ""funnel_stages"": [{""stage"": ""fact_leads_count"", ""name"": ""Новых лидов взято в работу, шт."", ""sort"": 1}], ""funnel_stages_conversions"": [{""id"": 1, ""type"": ""main"", ""stage_divisor"": ""fact_leads_count"", ""stage_divided"": ""fact_payments_count""}], ""activities"": [{""id"": 1, ""name"": ""Позвонить"", ""for_mop"": false}], ""calls_ratings_enabled"": false, ""weekdays_schedule"": ""5days""}"
api/departments/{id}/dashboard,PATCH,Update department dashboard,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department. Example: exercitationem,calls_ratings_enabled boolean optional Example: true; weekdays_schedule string Example: 5days Must be one of: 5days 7days,Bearer Token,ok
api/departments/{id}/dashboard/funnel-stages,PATCH,Update funnel stages for department,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department. Example: adipisci,funnel_stages object[],Bearer Token,ok
api/departments/{id}/dashboard/funnel-stages-conversions,PATCH,Update funnel stages conversions for department,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department.,funnel_stages_conversions object[],Bearer Token,ok
,,,,,,,
api/departments/{id}/dashboard/activities,PATCH,"Update activities for department. Activities. В массиве должен приходить полный набор актуальных активностей(объектов). Если объект содержит id - активность с соотв. id будет обновлена. Если объект не содержит id - активность будет создана. Если в БД есть активности, но их id не пришел в запросе - они будут удалены.",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department. Example: minima,"activities object[] Поле ""value"" должно содержать не более 5 элементов.",Bearer Token,ok
api/data,GET,Get data,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"department_id integer optional Example: 12; user_id integer optional Example: 5; date_from string optional Must be a valid date in the format Y-m-d. Example: 2025-11-01; date_to string optional Must be a valid date in the format Y-m-d. Поле ""value"" должно быть датой после ""date_from"". Example: 2041-05-01",,Bearer Token,"[{""indicator"": ""fact_payments_amount"", ""user"": {""id"": 1, ""name"": ""master m. m.""}, ""activity"": { ""id"": 1, ""name"": ""activity1"" }, ""avg_month_year"": 123, ""avg_day_month(optional)"": 321, ""data"": [{""date_start"": ""2025-06-01"", ""date_end"": ""2025-06-30"", ""count"": 49, ""value"": 10362, ""id"": null, ""confirmed"": null, ""month"": ""2025-06"", ""weeks"": [{""date_start"": ""2025-06-01"", ""date_end"": ""2025-06-01"", ""count"": 3, ""value"": 536, ""id"": null, ""confirmed"": null, ""week"": ""2025-06-W22"", ""days"": [{""date"": ""2025-06-01"", ""value"": 536, ""count"": 3, ""period"": null, ""id"": null, ""confirmed"": null, }]}]}]}, {""indicator"": ""plan_payments_amount"", ""..."": ""...""}]"
api/data/input/check,POST,Check data input,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,data object[],Bearer Token,"{""data"": [{""indicator"": ""plan_payments_amount"", ""department_id"": ""?int справочно"", ""activity_id"": ""?int справочно для идентификации поля"", ""user_id"": ""?int справочно для идентификации поля"", ""validation_errors"": [], ""auth_success"": true, ""schedule_success"": true, ""consistency_success"": false}, {""indicator"": ""plan_activities_count"", ""department_id"": ""?int"", ""activity_id"": ""?int"", ""user_id"": ""?int"", ""validation_errors"": [], ""auth_success"": true, ""schedule_success"": true, ""consistency_success"": false}]}"
api/data/input/save,POST,"Save data input. Входные данные те же, что и у api/data/input/check",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,[]
api/data/plan-payments-amount,POST,Create plan payments amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 18; user_id integer optional Example: 15; date string. optional Example: 2025-01-01; value integer Example: 6; confirmed boolean Example: true,Bearer Token,"{""data"": {""id"": 47, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 3500000, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/plan-payments-amount/{id},PATCH,Update plan payments amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan payments amount. Example: minima,value integer optional Example: 14; confirmed boolean optional Example: true,Bearer Token,"{""data"": {""id"": 47, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 3500000, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/plan-payments-amount/{id},DELETE,Delete plan payments amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan payments amount. Example: sequi,,Bearer Token,"{""data"": {""id"": 47, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 3500000, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/plan-leads-count,POST,Create plan leads count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 12; date string. optional Example: 2025-01-01; value integer Example: 10; confirmed boolean Example: true,Bearer Token,"{""data"": {""id"": 50, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 150, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/plan-leads-count/{id},PATCH,Update plan leads count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan leads count. Example: necessitatibus,value integer optional Example: 19; confirmed boolean optional Example: false,Bearer Token,"{""data"": {""id"": 50, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 150, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/plan-leads-count/{id},DELETE,Delete plan leads count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan leads count. Example: consectetur,,Bearer Token,"{""data"": {""id"": 50, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 150, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/fact-employees-count,POST,Create fact employees count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 13; date string. optional Example: 2025-01-01; value integer Example: 18; confirmed boolean Example: false,Bearer Token,"{""data"": {""id"": 50, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 8, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/fact-employees-count/{id},PATCH,Update fact employees count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact employees count. Example: ea,value integer optional Example: 13; confirmed boolean optional Example: true,Bearer Token,"{""data"": {""id"": 50, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 8, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/fact-employees-count/{id},DELETE,Delete fact employees count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact employees count. Example: autem,,Bearer Token,"{""data"": {""id"": 50, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""month"", ""date"": ""2025-09-29T21:00:00.000000Z"", ""value"": 8, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z"", ""confirmed"": false}}"
api/data/fact-payments-amount,POST,Create fact payments amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 14; user_id integer optional Example: 17; period string Example: week Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 9,Bearer Token,"{""data"": {""id"": 665, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 975000, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/fact-payments-amount/{id},PATCH,Update fact payments amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact payments amount. Example: autem,value integer optional Example: 6,Bearer Token,"{""data"": {""id"": 665, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 975000, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/fact-payments-amount/{id},DELETE,Delete fact payments amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact payments amount. Example: quia,,Bearer Token,"{""data"": {""id"": 665, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 975000, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/plan-payments-daily-amount,POST,Create plan payments daily amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 4; user_id integer optional Example: 2; date string. optional Example: 2025-01-01; value integer Example: 19,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/plan-payments-daily-amount/{id},PATCH,Update plan payments daily amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan payments daily amount. Example: quo,value integer optional Example: 13,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/plan-payments-daily-amount/{id},DELETE,Delete plan payments daily amount,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan payments daily amount. Example: adipisci,,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/plan-activity-count,POST,Create plan activity count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,activity_id integer optional Example: 17; user_id integer optional Example: 3; period string Example: week Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 12,Bearer Token,"{""data"": {""id"": null, ""activity_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/plan-activity-count/{id},PATCH,Update plan activity count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan activity count. Example: esse,value integer optional Example: 16,Bearer Token,"{""data"": {""id"": null, ""activity_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/plan-activity-count/{id},DELETE,Delete plan activity count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the plan activity count. Example: minima,,Bearer Token,"{""data"": {""id"": null, ""activity_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-activity-count,POST,Create fact activity count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,activity_id integer optional Example: 3; user_id integer optional Example: 1; period string Example: week Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 16,Bearer Token,"{""data"": {""id"": 1, ""activity_id"": 2, ""user_id"": null, ""creator_id"": null, ""period"": ""day"", ""date"": ""2025-10-13T21:00:00.000000Z"", ""value"": 10, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-activity-count/{id},PATCH,Update fact activity count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact activity count. Example: assumenda,value integer optional Example: 11,Bearer Token,"{""data"": {""id"": 1, ""activity_id"": 2, ""user_id"": null, ""creator_id"": null, ""period"": ""day"", ""date"": ""2025-10-13T21:00:00.000000Z"", ""value"": 10, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-activity-count/{id},DELETE,Delete fact activity count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact activity count. Example: aut,,Bearer Token,"{""data"": {""id"": 1, ""activity_id"": 2, ""user_id"": null, ""creator_id"": null, ""period"": ""day"", ""date"": ""2025-10-13T21:00:00.000000Z"", ""value"": 10, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-call-rating,POST,Create fact call rating,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer Example: 8; user_id integer optional Example: 4; period string Example: month Must be one of: day week month; date string. optional Example: 2025-01-01; value integer Example: 2,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-call-rating/{id},PATCH,Update fact call rating,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact call rating. Example: sunt,value integer optional Example: 2,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-call-rating/{id},DELETE,Delete fact call rating,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact call rating. Example: rerum,,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-leads-count,POST,Create fact leads count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 5; user_id integer optional Example: 16; period string Example: day Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 19,Bearer Token,"{""data"": {""id"": 572, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 29, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/fact-leads-count/{id},PATCH,Update fact leads count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact leads count. Example: est,value integer optional Example: 18,Bearer Token,"{""data"": {""id"": 572, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 29, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/fact-leads-count/{id},DELETE,Delete fact leads count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact leads count. Example: qui,,Bearer Token,"{""data"": {""id"": 572, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 29, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/fact-leads-qualified-count,POST,Create fact leads qualified count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer Example: 9; user_id integer optional Example: 5; period string Example: day Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 12,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
